	AreaShape_Center_X	AreaShape_Center_Y	ImageNumber	Intensity_MaxIntensityEdge_Costum	Intensity_UpperQuartileIntensity_Costum	AreaShape_Center_X_Orig	AreaShape_Center_Y_Orig	AreaShape_Center_Y_NoLocalAdjustment	AreaShape_Center_X_NoLocalAdjustment	ClosestHandENuclei	ClosestIPOXNuclei	N_Neighbors_1E-3
1506427	0.18392	0.81817	0.00000	0.63024	0.58158	4164.00000	15188.00000	0.81817	0.18392	0.00923	0.00173	5.00000	
1506429	0.19119	0.81799	0.00000	0.71834	0.74158	4281.00000	15185.00000	0.81799	0.19119	0.00598	0.00608	3.00000	
1506597	0.19945	0.81799	0.00000	0.67226	0.59988	4414.00000	15185.00000	0.81799	0.19945	0.00751	0.00248	3.00000	
1506755	0.16268	0.81805	0.00000	0.60988	0.60988	3822.00000	15186.00000	0.81805	0.16268	0.00727	0.00500	3.00000	
1506757	0.16579	0.81799	0.00000	0.82015	0.73085	3872.00000	15185.00000	0.81799	0.16579	0.00581	0.00500	8.00000	
1506758	0.16995	0.81805	0.00000	0.83849	0.74948	3939.00000	15186.00000	0.81805	0.16995	0.00608	0.00008	6.00000	
1506761	0.17920	0.81799	0.00000	0.49959	0.49959	4088.00000	15185.00000	0.81799	0.17920	0.00581	0.00060	3.00000	
1506908	0.14895	0.81805	0.00000	0.90471	0.83757	3601.00000	15186.00000	0.81805	0.14895	0.00721	0.00593	5.00000	
1506910	0.15784	0.81799	0.00000	0.74062	0.63399	3744.00000	15185.00000	0.81799	0.15784	0.00684	0.00382	2.00000	
1506911	0.16169	0.81811	0.00000	0.69201	0.65533	3806.00000	15187.00000	0.81811	0.16169	0.00719	0.00071	5.00000	
1506912	0.16461	0.81834	0.00000	0.82159	0.77691	3853.00000	15191.00000	0.81834	0.16461	0.01162	0.00888	3.00000	
1506915	0.17343	0.81799	0.00000	0.41296	0.41296	3995.00000	15185.00000	0.81799	0.17343	0.00608	0.00601	6.00000	
1506916	0.18964	0.81799	0.00000	0.67456	0.61358	4256.00000	15185.00000	0.81799	0.18964	0.00625	0.00212	3.00000	
1506920	0.19672	0.81799	0.00000	0.57755	0.52840	4370.00000	15185.00000	0.81799	0.19672	0.00684	0.00151	4.00000	
1507086	0.15914	0.81805	0.00000	0.45459	0.42611	3765.00000	15186.00000	0.81805	0.15914	0.01210	0.00096	3.00000	
