	AreaShape_Center_X	AreaShape_Center_Y	ImageNumber	Intensity_MaxIntensityEdge_Costum	Intensity_UpperQuartileIntensity_Costum	AreaShape_Center_X_Orig	AreaShape_Center_Y_Orig	AreaShape_Center_Y_NoLocalAdjustment	AreaShape_Center_X_NoLocalAdjustment
4022860	0.05486	0.81436	1.00000	0.83527	0.80065	3530.00000	15608.00000	0.81436	0.05486	
4023185	0.05409	0.81434	1.00000	0.83974	0.80471	3517.00000	15610.00000	0.81434	0.05409	
4023186	0.05501	0.81450	1.00000	0.84881	0.81837	3533.00000	15610.00000	0.81450	0.05501	
4024085	0.05371	0.81444	1.00000	0.79284	0.78529	3511.00000	15613.00000	0.81444	0.05371	
4024395	0.05504	0.81467	1.00000	0.68858	0.65099	3534.00000	15613.00000	0.81467	0.05504	
4024706	0.05446	0.81457	1.00000	0.83403	0.82191	3524.00000	15613.00000	0.81457	0.05446	
4024989	0.05428	0.81460	1.00000	0.83793	0.78843	3521.00000	15614.00000	0.81460	0.05428	
4024990	0.05450	0.81469	1.00000	0.85799	0.78805	3525.00000	15615.00000	0.81469	0.05450	
4024991	0.05513	0.81480	1.00000	0.79094	0.69768	3536.00000	15615.00000	0.81480	0.05513	
4025880	0.05257	0.81452	1.00000	0.59002	0.53855	3492.00000	15618.00000	0.81452	0.05257	
4026163	0.05273	0.81461	1.00000	0.61216	0.57502	3495.00000	15619.00000	0.81461	0.05273	
4026419	0.05208	0.81461	1.00000	0.50982	0.50315	3484.00000	15621.00000	0.81461	0.05208	
4026420	0.05226	0.81458	1.00000	0.58890	0.55593	3487.00000	15620.00000	0.81458	0.05226	
4026421	0.05439	0.81495	1.00000	0.78196	0.75021	3524.00000	15620.00000	0.81495	0.05439	
4026720	0.05258	0.81475	1.00000	0.58037	0.55571	3493.00000	15622.00000	0.81475	0.05258	
4026721	0.05454	0.81509	1.00000	0.79280	0.76975	3527.00000	15622.00000	0.81509	0.05454	
4027004	0.05241	0.81472	1.00000	0.57674	0.56396	3490.00000	15622.00000	0.81472	0.05241	
4027005	0.05355	0.81498	1.00000	0.86420	0.80947	3510.00000	15623.00000	0.81498	0.05355	
4027272	0.05223	0.81475	1.00000	0.50944	0.48566	3487.00000	15623.00000	0.81475	0.05223	
4027273	0.05321	0.81492	1.00000	0.83473	0.82040	3504.00000	15623.00000	0.81492	0.05321	
4027274	0.05372	0.81506	1.00000	0.85864	0.83676	3513.00000	15624.00000	0.81506	0.05372	
4027275	0.05471	0.81518	1.00000	0.78249	0.78249	3530.00000	15623.00000	0.81518	0.05471	
4027896	0.05307	0.81501	1.00000	0.87560	0.78634	3502.00000	15625.00000	0.81501	0.05307	
4027897	0.05404	0.81523	1.00000	0.69371	0.59507	3519.00000	15626.00000	0.81523	0.05404	
4028171	0.05232	0.81488	1.00000	0.58843	0.56515	3489.00000	15625.00000	0.81488	0.05232	
4028172	0.05254	0.81503	1.00000	0.61751	0.60236	3493.00000	15627.00000	0.81503	0.05254	
4028173	0.05398	0.81528	1.00000	0.63238	0.62609	3518.00000	15627.00000	0.81528	0.05398	
4028174	0.05416	0.81525	1.00000	0.44184	0.44184	3521.00000	15626.00000	0.81525	0.05416	
4028459	0.05219	0.81497	1.00000	0.55789	0.55789	3487.00000	15627.00000	0.81497	0.05219	
4028734	0.05402	0.81534	1.00000	0.50301	0.50301	3519.00000	15628.00000	0.81534	0.05402	
4028735	0.05512	0.81553	1.00000	0.81391	0.79489	3538.00000	15628.00000	0.81553	0.05512	
4029018	0.05223	0.81509	1.00000	0.60883	0.56437	3488.00000	15629.00000	0.81509	0.05223	
4029019	0.05240	0.81512	1.00000	0.62842	0.61254	3491.00000	15629.00000	0.81512	0.05240	
4029020	0.05481	0.81559	1.00000	0.84513	0.79168	3533.00000	15630.00000	0.81559	0.05481	
4029315	0.05352	0.81548	1.00000	0.79968	0.77596	3511.00000	15632.00000	0.81548	0.05352	
4029580	0.05439	0.81563	1.00000	0.56564	0.56564	3526.00000	15632.00000	0.81563	0.05439	
4029581	0.05492	0.81567	1.00000	0.66488	0.66488	3535.00000	15631.00000	0.81567	0.05492	
4029899	0.05226	0.81526	1.00000	0.53978	0.49617	3489.00000	15632.00000	0.81526	0.05226	
4029900	0.05265	0.81538	1.00000	0.53679	0.53679	3496.00000	15633.00000	0.81538	0.05265	
4029901	0.05336	0.81540	1.00000	0.81684	0.79136	3508.00000	15631.00000	0.81540	0.05336	
4029902	0.05467	0.81574	1.00000	0.64493	0.63931	3531.00000	15633.00000	0.81574	0.05467	
4030203	0.05219	0.81530	1.00000	0.46022	0.46022	3488.00000	15633.00000	0.81530	0.05219	
4030204	0.05449	0.81571	1.00000	0.68920	0.62462	3528.00000	15633.00000	0.81571	0.05449	
4030462	0.05249	0.81530	1.00000	0.53544	0.52547	3493.00000	15632.00000	0.81530	0.05249	
4030463	0.05459	0.81584	1.00000	0.62359	0.61391	3530.00000	15635.00000	0.81584	0.05459	
4031046	0.05390	0.81571	1.00000	0.81960	0.79633	3518.00000	15635.00000	0.81571	0.05390	
4031047	0.05442	0.81581	1.00000	0.69216	0.62479	3527.00000	15635.00000	0.81581	0.05442	
4031338	0.05222	0.81548	1.00000	0.61137	0.56025	3489.00000	15636.00000	0.81548	0.05222	
4031339	0.05238	0.81556	1.00000	0.61342	0.57262	3492.00000	15637.00000	0.81556	0.05238	
4031340	0.05324	0.81571	1.00000	0.72760	0.72760	3507.00000	15637.00000	0.81571	0.05324	
4031623	0.05202	0.81556	1.00000	0.61088	0.60125	3486.00000	15638.00000	0.81556	0.05202	
4031624	0.05335	0.81579	1.00000	0.77830	0.70194	3509.00000	15638.00000	0.81579	0.05335	
4031927	0.05219	0.81564	1.00000	0.56973	0.56973	3489.00000	15639.00000	0.81564	0.05219	
4031928	0.05309	0.81591	1.00000	0.70154	0.69120	3505.00000	15641.00000	0.81591	0.05309	
4031929	0.05310	0.81586	1.00000	0.69921	0.69921	3505.00000	15640.00000	0.81586	0.05310	
4032253	0.05321	0.81588	1.00000	0.72059	0.67877	3507.00000	15640.00000	0.81588	0.05321	
4032254	0.05517	0.81622	1.00000	0.48761	0.48761	3541.00000	15640.00000	0.81622	0.05517	
4032585	0.05470	0.81619	1.00000	0.79834	0.77751	3533.00000	15641.00000	0.81619	0.05470	
4032854	0.05279	0.81592	1.00000	0.78037	0.75567	3500.00000	15642.00000	0.81592	0.05279	
4032855	0.05348	0.81604	1.00000	0.63072	0.62218	3512.00000	15642.00000	0.81604	0.05348	
4032856	0.05453	0.81616	1.00000	0.80367	0.78509	3530.00000	15641.00000	0.81616	0.05453	
4032857	0.05511	0.81626	1.00000	0.56194	0.56194	3540.00000	15641.00000	0.81626	0.05511	
4033144	0.05221	0.81582	1.00000	0.64567	0.61128	3490.00000	15642.00000	0.81582	0.05221	
4033145	0.05363	0.81618	1.00000	0.64001	0.58850	3515.00000	15644.00000	0.81618	0.05363	
4033146	0.05461	0.81635	1.00000	0.78074	0.74722	3532.00000	15644.00000	0.81635	0.05461	
4033421	0.05237	0.81596	1.00000	0.50844	0.50844	3493.00000	15644.00000	0.81596	0.05237	
4033422	0.05289	0.81605	1.00000	0.77913	0.71806	3502.00000	15644.00000	0.81605	0.05289	
4033423	0.05335	0.81613	1.00000	0.55075	0.55075	3510.00000	15644.00000	0.81613	0.05335	
4033713	0.05259	0.81605	1.00000	0.76684	0.69186	3497.00000	15645.00000	0.81605	0.05259	
4033714	0.05339	0.81619	1.00000	0.64081	0.60839	3511.00000	15645.00000	0.81619	0.05339	
4033715	0.05448	0.81644	1.00000	0.70435	0.70435	3530.00000	15646.00000	0.81644	0.05448	
4033716	0.05460	0.81646	1.00000	0.72444	0.65764	3532.00000	15646.00000	0.81646	0.05460	
4034012	0.05304	0.81619	1.00000	0.53278	0.53278	3505.00000	15646.00000	0.81619	0.05304	
4034300	0.05222	0.81610	1.00000	0.50913	0.50281	3491.00000	15647.00000	0.81610	0.05222	
4034301	0.05280	0.81620	1.00000	0.53996	0.53996	3501.00000	15647.00000	0.81620	0.05280	
